OBJECTID,UCS,UCS_F,FASES,UCS_TIPO,DEPARTAMENTO,PAISAJE,CLIMA,TIPO_RELIEVE,LITOLOGIA,CARACTERISTICAS,PERFIL,PERFIL1,PERFIL2,PERFIL3,PERFIL4,AÅREA_ha,NUM_SUELO,SUELO1,SUELO2,SUELO3,SUELO4,PORC1,PORC2,PORC3,PORC4
1,LVA,LVAb,"b, c, c2, d, d2, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_colinas,Arcillas_abigarradas_de_la_formacion_Orito_y_Terciario_superior,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuerte_a_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",T-250; T-225; CQ-135; CQ-52,T-250,T-225,CQ-135,CQ-52,277.0672879,4,Typic_Paleudults,Typic_Hapludults,Oxic_Dystrudepts,Aeric_Endoaquents,40,40,10,10
2,VVD,VVDb,"a, b",Asociacion,Caqueta,Valle_aluvial,Calido_humedo,Terraza_alta,Depositos_aluviales_finos_y_medios,"Bien_a_pobremente_drenados,_profundos_a_superficiales,_extremada_a_fuertemente_acidos,_moderada_a_baja_capacidad_de_intercambio_cationico._Fertilidad_baja",CQ-63; CQ-45; CQ-18,CQ-63,CQ-45,CQ-18,NA,920.6547728,4,Typic_Hapludox,Typic_Kandiudox,Typic_Humaquepts,Typic_Dystrudepts,50,20,20,10
4,MVE,MVEa,"a, b",Asociacion,Caqueta,Montana_estructural_erosional,Calido_humedo,Vallecitos,"Sedimentos_aluviales_
medios","Bien_e_imperfectamente_drenados,_moderadamente_profundos_a_profundos,_muy_fuertemente_acidos,_con_moderada_saturacion_de_aluminio._Fertilidad_baja",CQ-73; CQ-53; T-206,CQ-73,CQ-53,T-206,NA,2686.841892,3,Fluventic_Dystrudepts,Oxyaquic_Udifluvents,Typic_Udifluvents,NA,50,30,20,NA
5,MVE,MVEb,"a, b",Asociacion,Caqueta,Montana_estructural_erosional,Calido_humedo,Vallecitos,"Sedimentos_aluviales_
medios","Bien_e_imperfectamente_drenados,_moderadamente_profundos_a_profundos,_muy_fuertemente_acidos,_con_moderada_saturacion_de_aluminio._Fertilidad_baja",CQ-73; CQ-53; T-206,CQ-73,CQ-53,T-206,NA,941.0073297,3,Fluventic_Dystrudepts,Oxyaquic_Udifluvents,Typic_Udifluvents,NA,50,30,20,NA
6,PVB,PVBb,"a, b, c",Asociacion,Caqueta,Piedemonte_aluvial,Calido_humedo,Abanicos_subrecientes,Sedimentos_coluvio_aluviales_finos,"Bien_a_pobremente_drenados,_profundos_a_superficiales,_extremada_a_fuertemente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",T-233; T207; CQ-13,T-233,T207,CQ-13,NA,409.7967982,4,Oxic_Dystrudepts,Typic_Dystrudepts,Typic_Humaquepts,Typic_Paleudults,40,30,20,NA
7,LVA,LVAd2,"b, c, c2, d, d2, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_colinas,Arcillas_abigarradas_de_la_formacion_Orito_y_Terciario_superior,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuerte_a_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",T-250; T-225; CQ-135; CQ-52,T-250,T-225,CQ-135,CQ-52,513.3827735,4,Typic_Paleudults,Typic_Hapludults,Oxic_Dystrudepts,Aeric_Endoaquents,40,40,10,10
8,LVA,LVAd2,"b, c, c2, d, d2, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_colinas,Arcillas_abigarradas_de_la_formacion_Orito_y_Terciario_superior,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuerte_a_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",T-250; T-225; CQ-135; CQ-52,T-250,T-225,CQ-135,CQ-52,5058.376177,4,Typic_Paleudults,Typic_Hapludults,Oxic_Dystrudepts,Aeric_Endoaquents,40,40,10,10
9,MUA,MUAf,"e, f, f2, g",Asociacion,Caqueta,Montana_estructural_erosional,Calido_muy_humedo,Filas_y_vigas,Granito_y_neiss_con_inclusiones_de_areniscas,"Bien_drenados,_superficiales_a_profundos,_fuertemente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",T-243; T-223,T-243,T-223,NA,NA,690.0001851,2,Lithic_Udorthents,Oxic_Dystrudepts,NA,NA,60,40,NA,NA
10,MUC,MUCai,"ai, b",Asociacion,Caqueta,Montana_estructural_erosional,Calido_muy_humedo,Vallecitos,Sedimentos_aluviales_heterometricos_con_matriz_media_y_gruesa,"Bien_a_pobremente_drenados,_moderadamente_profundos_a_superficiales,_muy_fuertemente_acidos._Fertilidad_baja",CQ-23; T-245,CQ-23,T-245,NA,NA,118.7552233,2,Typic_Dystrudepts,Typic_Endoaquepts,NA,NA,60,40,NA,NA
11,VVC,VVCa,"a, b",Asociacion,Caqueta,Valle_aluvial,Calido_humedo,Terraza_media,"Sedimentos_aluviales_finos_y_moderadamente_finos,_en_sectores_hay_depositos_de_arena_y_cascajo","Bien_a_pobremente_drenados,_profundos_a_superficiales,_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",CQ-41; CQ-64; CQ-19,CQ-41,CQ-64,CQ-19,NA,209.147071,3,Typic_Dystrudepts,Oxyaquic_Dystrudepts,Typic_Humudepts,NA,40,20,40,NA
