OID,OBJECTID,No_UCS,UCS,UCS_F,PAISAJE,TIPO_RELIE,CLIMA,LITOLOGÍA,PROCESOS_G,CARACTERIS,COMPONENTE,PERFIL,PORCENTAJE,Conteo,Suelo1,Suelo2,Suelo3,Suelo4,Perfil1,Perfil2,Perfil3,Porcent1,Porcent2,Porcent3,Porcent4,Index_Taxo,Index_Prop,Unit_Carto,Departamen
-1,3,UCS_3,MQE,MQEg2,Montaña,Crestas homoclinales abruptas,Medio y humedo,"Arenisca, lutitas y calizas","Desprendimientos de roca, deslizamientos, solifluxion ligera por sectores","Muy superficiales a moderadamente profundos, excesivamente drenados, textura franco arenosa y arcillosa. Fertilidad natural baja y alta",Grupo Indiferenciado: Lithic Troporthents; Typic Eutropepts; Typic Dystropepts,PN-76; NS-3; N-12,"50, 40, 10",3,Lithic_Troporthents,Typic_Eutropepts,Typic_Dystropepts,NA,PN-76,NS-3,N-12,50,40,10,NA,0.000000000000000,0.000000000000000,Grupo_Indiferenciado,Norte_de_Santander
-1,6,UCS_6,MVE,MVEf2,Montaña,Espinazos y barras homoclinales,"Calido, humedo",Arenisca,"Desprendimiento de roca, deslizamientos","Superficiales y moderadamente profundos, limitados por roca, excesivamente drenados, textura franca a franco arenosa. Fertilidad natural baja",Grupo Indiferenciado: Lithic Troporthents; Typic Troporthents; Typic Dystropepts; Afloramiento rocoso,NS-157; NS-63; NS-161,"50, 40, 10",4,Lithic_Troporthents,Typic_Troporthents,Typic_Dystropepts,Afloramiento_rocoso,NS-157,NS-63,NS-161,50,40,10,NA,0.000000000000000,0.000000000000000,Grupo_Indiferenciado,Norte_de_Santander
-1,7,UCS_7,MWG,MWGcp,Montaña,Glacis coluvial,"Calido, seco","Depositos superficiales, clasticos, gravigenicos e hidrogenicos, coluviones heterometricos",Sedimentacion coluvial-aluvial,"Profundos a moderadamente profundos, limitados por fragmentos de roca y compactacion del material, textura arcillosa a franca. Fertilidad alta",Asociacion: Fluventic Ustropepts; Ustic Dystropepts,NS-179; PN-144,"70, 30",2,Fluventic_Ustropepts,Ustic_Dystropepts,NA,NA,NS-179,PN-144,NA,70,30,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Norte_de_Santander
-1,8,UCS_8,MWG,MWGe2,Montaña,Glacis coluvial,"Calido, seco","Depositos superficiales, clasticos, gravigenicos e hidrogenicos, coluviones heterometricos",Sedimentacion coluvial-aluvial,"Profundos a moderadamente profundos, limitados por fragmentos de roca y compactacion del material, textura arcillosa a franca. Fertilidad alta",Asociacion: Fluventic Ustropepts; Ustic Dystropepts,NS-179; PN-144,"70, 30",2,Fluventic_Ustropepts,Ustic_Dystropepts,NA,NA,NS-179,PN-144,NA,70,30,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Norte_de_Santander
-1,54,UCS_54,LVA,LVAd2,Lomerio,Lomas,"Calido, humedo",Arenisca,Escurrimiento difuso y concentrado en grado moderado,"Moderadamente profundos, bien drenados, de textura franco arenosa a franco arcillo arenosa. Fertilidad natural media",Consociacion: Typic Eutropepts,NS-94,80,1,Typic_Eutropepts,NA,NA,NA,NS-94,NA,NA,80,NA,NA,NA,0.000000000000000,0.000000000000000,Consociacion,Norte_de_Santander
-1,55,UCS_55,LVA,LVAd2,Lomerio,Lomas,"Calido, humedo",Arenisca,Escurrimiento difuso y concentrado en grado moderado,"Moderadamente profundos, bien drenados, de textura franco arenosa a franco arcillo arenosa. Fertilidad natural media",Consociacion: Typic Eutropepts,NS-94,80,1,Typic_Eutropepts,NA,NA,NA,NS-94,NA,NA,80,NA,NA,NA,0.000000000000000,0.000000000000000,Consociacion,Norte_de_Santander
-1,469,UCS_469,MLC,MLCg1,Montaña,Filas y vigas,Frio humedo,Granitos,Deslizamientos en masa y reptacion por sectores. Solifluxion generalizada,"Muy superficiales, excesivamente drenados, de texturas franco arenosa. Fertilidad media",Consociacion: Lithic Troporthents; Afloramiento rocoso,PN-24,"80, 20",2,Lithic_Troporthents,Afloramiento_rocoso,NA,NA,PN-24,NA,NA,80,20,NA,NA,0.000000000000000,0.000000000000000,Consociacion,Norte_de_Santander
-1,933,UCS_933,MQK,MQKf1,Montaña,Crestones homoclinales,Medio y humedo,"Arenisca, lutitas y calizas","Desprendimientos de roca, deslizamientos, solifluxion ligera por sectores","Profundos y moderadamente profundos, bien drenados, textura franco arenosa, arcillosa. Fertilidad natural baja y alta",Complejo: Typic Dystropepts; Lithic Hapludolls; Typic Troporthents,PN-116; N-31; PN-18,"40, 30, 30",3,Typic_Dystropepts,Lithic_Hapludolls,Typic_Troporthents,NA,PN-116,N-31,PN-18,40,30,30,NA,0.000000000000000,0.000000000000000,Complejo,Norte_de_Santander
-1,1491,UCS_1491,VVB,VVBa,Valle,Terraza agradacional,"Calido, humedo","Depositos superficiales, clasticos, hidrogenicos. Aluviones mixtos",Sedimentacion aluvial y coluvial,"Profundos a superficiales, limitados por cantos redondeados y nivel freatico alto, de textura franca a franco arcillosa. Reaccion muy fuertemente acida. Fertilidad natural baja",Asociacion: Fluventic Dystropepts; Aeric Tropic Fluvaquents; Aeric Endoaqualfs,M-2; NS-51; NS-52,"50, 40, 10",3,Fluventic_Dystropepts,Aeric_Tropic_Fluvaquents,Aeric_Endoaqualfs,NA,M-2,NS-51,NS-52,50,40,10,NA,0.000000000000000,0.000000000000000,Asociacion,Norte_de_Santander
-1,1943,UCS_1943,VVB,VVBa,Valle,Terraza agradacional,"Calido, humedo","Depositos superficiales, clasticos, hidrogenicos. Aluviones mixtos",Sedimentacion aluvial y coluvial,"Profundos a superficiales, limitados por cantos redondeados y nivel freatico alto, de textura franca a franco arcillosa. Reaccion muy fuertemente acida. Fertilidad natural baja",Asociacion: Fluventic Dystropepts; Aeric Tropic Fluvaquents; Aeric Endoaqualfs,M-2; NS-51; NS-52,"50, 40, 10",3,Fluventic_Dystropepts,Aeric_Tropic_Fluvaquents,Aeric_Endoaqualfs,NA,M-2,NS-51,NS-52,50,40,10,NA,0.000000000000000,0.000000000000000,Asociacion,Norte_de_Santander
