UCS_F,UCS_TIPO,DEPARTAMENTO,NUM_SUELOS,NIVEL_TAXO,RAO,NUCLEO_ID
RVDa,Asociacion,Guaviare,4,4,0.555,1
LVHai,Disociacion,Guaviare,6,4,0.64625,1
LVHai,Disociacion,Guaviare,6,4,0.64625,1
RVDa,Asociacion,Guaviare,4,4,0.555,1
RVCai,Asociacion,Guaviare,6,4,0.39625,1
LVCb,Complejo,Guaviare,6,4,0.63,1
LVAb,Consociacion,Guaviare,4,4,0.4825,1
LVAa,Consociacion,Guaviare,4,4,0.4825,1
LVCb,Complejo,Guaviare,6,4,0.63,1
LVFe2,Asociacion,Guaviare,3,4,0.605,1
ZVBd1,Asociacion,Guaviare,3,4,0.375,1
LVDd1,Asociacion,Guaviare,5,4,0.465,1
LVCb,Complejo,Guaviare,6,4,0.63,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
RVBai,Complejo,Guaviare,3,4,0.345,1
ZVBd1,Asociacion,Guaviare,3,4,0.375,1
RVBai,Complejo,Guaviare,3,4,0.345,1
LVAa,Consociacion,Guaviare,4,4,0.4825,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
RVCai,Asociacion,Guaviare,6,4,0.39625,1
ZVAa,Disociacion,Guaviare,5,4,0.64,1
LVDd1,Asociacion,Guaviare,5,4,0.465,1
LVCb,Complejo,Guaviare,6,4,0.63,1
ZVBc,Asociacion,Guaviare,3,4,0.375,1
LVHai,Disociacion,Guaviare,6,4,0.64625,1
LVAa,Consociacion,Guaviare,4,4,0.4825,1
ZVBc,Asociacion,Guaviare,3,4,0.375,1
LVDd1,Asociacion,Guaviare,5,4,0.465,1
ZVCc,Consociacion,Guaviare,3,4,0.32,1
ZVBd1,Asociacion,Guaviare,3,4,0.375,1
RVCai,Asociacion,Guaviare,6,4,0.39625,1
LVAa,Consociacion,Guaviare,4,4,0.4825,1
ZVCc,Consociacion,Guaviare,3,4,0.32,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
LVHai,Disociacion,Guaviare,6,4,0.64625,1
RVCai,Asociacion,Guaviare,6,4,0.39625,1
LVHai,Disociacion,Guaviare,6,4,0.64625,1
ZVBc,Asociacion,Guaviare,3,4,0.375,1
ZVAb,Disociacion,Guaviare,5,4,0.64,1
RVBai,Complejo,Guaviare,3,4,0.345,1
RVAai,Asociacion,Guaviare,3,4,0.405,1
RVCai,Asociacion,Guaviare,6,4,0.39625,1
LVHai,Disociacion,Guaviare,6,4,0.64625,1
RVCai,Asociacion,Guaviare,6,4,0.39625,1
ZVAc,Disociacion,Guaviare,5,4,0.64,1
LVAa,Consociacion,Guaviare,4,4,0.4825,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
LVAa,Consociacion,Guaviare,4,4,0.4825,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
RVCai,Asociacion,Guaviare,6,4,0.39625,1
LVAa,Consociacion,Guaviare,4,4,0.4825,1
RVAai,Asociacion,Guaviare,3,4,0.405,1
AVAc,Consociacion,Guaviare,5,4,0.49125,1
AVAd1,Consociacion,Guaviare,5,4,0.49125,1
RVBai,Complejo,Guaviare,3,4,0.345,1
RVBai,Complejo,Guaviare,3,4,0.345,1
LVAa,Consociacion,Guaviare,4,4,0.4825,1
RVEa,Asociacion,Guaviare,3,4,0.625,1
RVAai,Asociacion,Guaviare,3,4,0.405,1
RVDa,Asociacion,Guaviare,4,4,0.555,1
RVBai,Complejo,Guaviare,3,4,0.345,1
RVAai,Asociacion,Guaviare,3,4,0.405,1
RVBai,Complejo,Guaviare,3,4,0.345,1
LVHai,Disociacion,Guaviare,6,4,0.64625,1
LVHai,Disociacion,Guaviare,6,4,0.64625,1
RVCai,Asociacion,Guaviare,6,4,0.39625,1
LVCb,Complejo,Guaviare,6,4,0.63,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
LVFd1,Asociacion,Guaviare,3,4,0.605,1
LVCb,Complejo,Guaviare,6,4,0.63,1
AVAc,Consociacion,Guaviare,5,4,0.49125,1
RVEa,Asociacion,Guaviare,3,4,0.625,1
RVCai,Asociacion,Guaviare,6,4,0.39625,1
AVAa,Consociacion,Guaviare,5,4,0.49125,1
LVDd1,Asociacion,Guaviare,5,4,0.465,1
LVDd1,Asociacion,Guaviare,5,4,0.465,1
LVCb,Complejo,Guaviare,6,4,0.63,1
LVCb,Complejo,Guaviare,6,4,0.63,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
AVAb,Consociacion,Guaviare,5,4,0.49125,1
LVCb,Complejo,Guaviare,6,4,0.63,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
LVAb,Consociacion,Guaviare,4,4,0.4825,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
LVBa,Consociacion,Guaviare,5,4,0.35375,1
VVBa,Consociacion,Guaviare,4,4,0.57,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
ZVBf,Asociacion,Guaviare,3,4,0.375,1
LVCb,Complejo,Guaviare,6,4,0.63,1
LVCb,Complejo,Guaviare,6,4,0.63,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
LVDd1,Asociacion,Guaviare,5,4,0.465,1
LVAb,Consociacion,Guaviare,4,4,0.4825,1
LVHai,Disociacion,Guaviare,6,4,0.64625,1
LVAb,Consociacion,Guaviare,4,4,0.4825,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
LVAa,Consociacion,Guaviare,4,4,0.4825,1
VVBa,Consociacion,Guaviare,4,4,0.57,1
RVBai,Complejo,Guaviare,3,4,0.345,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
LVCb,Complejo,Guaviare,6,4,0.63,1
LVDd1,Asociacion,Guaviare,5,4,0.465,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
LVAb,Consociacion,Guaviare,4,4,0.4825,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
LVHai,Disociacion,Guaviare,6,4,0.64625,1
ZVAc,Disociacion,Guaviare,5,4,0.64,1
LVDd1,Asociacion,Guaviare,5,4,0.465,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
LVAa,Consociacion,Guaviare,4,4,0.4825,1
LVHai,Disociacion,Guaviare,6,4,0.64625,1
LVCb,Complejo,Guaviare,6,4,0.63,1
RVDa,Asociacion,Guaviare,4,4,0.555,1
LVAa,Consociacion,Guaviare,4,4,0.4825,1
LVDd1,Asociacion,Guaviare,5,4,0.465,1
LVAa,Consociacion,Guaviare,4,4,0.4825,1
LVAb,Consociacion,Guaviare,4,4,0.4825,1
LVHai,Disociacion,Guaviare,6,4,0.64625,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
LVBa,Consociacion,Guaviare,5,4,0.35375,1
VVBa,Consociacion,Guaviare,4,4,0.57,1
LVEd1,Consociacion,Guaviare,1,4,0.095,1
LVCb,Complejo,Guaviare,6,4,0.63,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
VVBa,Consociacion,Guaviare,4,4,0.57,1
LVFe2,Asociacion,Guaviare,3,4,0.605,1
LVCb,Complejo,Guaviare,6,4,0.63,1
LVDd1,Asociacion,Guaviare,5,4,0.465,1
LVGd1,Asociacion,Guaviare,3,4,0.505,1
LVCb,Complejo,Guaviare,6,4,0.63,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
LVAa,Consociacion,Guaviare,4,4,0.4825,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
LVCc,Complejo,Guaviare,6,4,0.63,1
LVCb,Complejo,Guaviare,6,4,0.63,1
LVDd1,Asociacion,Guaviare,5,4,0.465,1
