OID,SIM_ANTI,UCS,UCS_F,PAISAJE,CLIMA,TIPO_RELIE,LITOLOGÍA,CARACTERÍ,CARACTER_1,COMPONENTE,PERFIL,PORCENTAJE,FASES,Conteo,Suelo1,Suelo2,Suelo3,Suelo4,Suelo5,Suelo6,Suelo7,Suelo8,Perfil1,Perfil2,Perfil3,Perfil4,Perfil5,Perfil6,Perfil7,Perfil8,Porcent1,Porcent2,Porcent3,Porcent4,Porcent5,Porcent6,Porcent7,Porcent8,Index_Taxo,Index_Prop,Unit_Carto,Departamen
-1,RVEa,RVE,RVE,Planicie,Calido humedo,Llanura fluvio deltaica,Depositos aluviales mezclados,Relieve plano convexo y concavo; reciben aportes periodicos de materiales,"Textura arcillosa neutros, pobremente drenados. Textura franca neutros, imperfectamente drenados. Textura fina, ligeramente acidos y ligera a moderadamente alcalinos; pobremente drenados. Superficiales, fertilidad moderada",Complejo: Aeric Tropic Fluvaquents; Aquic Tropopsamments; Aeric Tropaquepts,SM-45; N-12; E-21,"40, 30, 30",a,3,Aeric_Tropic_Fluvaquents,Aquic_Tropopsamments,Aeric_Tropaquepts,NA,NA,NA,NA,NA,SM-45,N-12,E-21,NA,NA,NA,NA,NA,40,30,30,NA,NA,NA,NA,NA,0.000000000000000,0.000000000000000,Complejo,Sucre
-1,RVEa,RVE,RVE,Planicie,Calido humedo,Llanura fluvio deltaica,Depositos aluviales mezclados,Relieve plano convexo y concavo; reciben aportes periodicos de materiales,"Textura arcillosa neutros, pobremente drenados. Textura franca neutros, imperfectamente drenados. Textura fina, ligeramente acidos y ligera a moderadamente alcalinos; pobremente drenados. Superficiales, fertilidad moderada",Complejo: Aeric Tropic Fluvaquents; Aquic Tropopsamments; Aeric Tropaquepts,SM-45; N-12; E-21,"40, 30, 30",a,3,Aeric_Tropic_Fluvaquents,Aquic_Tropopsamments,Aeric_Tropaquepts,NA,NA,NA,NA,NA,SM-45,N-12,E-21,NA,NA,NA,NA,NA,40,30,30,NA,NA,NA,NA,NA,0.000000000000000,0.000000000000000,Complejo,Sucre
-1,RVBa,RVB,RVB,Planicie,Calido humedo,Llanura fluvio deltaica,Depositos aluviales mezclados,Relieve plano concavo y convexo; areas depositacionales,"Pobremente drenados, muy superficiales, acidos. Bien drenados, profundos, neutros. Muy pobremente drenados, muy superficiales, moderadamente acidos. Textura arcillosa, fertilidad moderada",Complejo: Aeric Tropaquepts; Fluventic Eutropepts; Vertic Fluvaquents,E-16; SM-39; SM-38,"40, 30, 30","a, ax",3,Aeric_Tropaquepts,Fluventic_Eutropepts,Vertic_Fluvaquents,NA,NA,NA,NA,NA,E-16,SM-39,SM-38,NA,NA,NA,NA,NA,40,30,30,NA,NA,NA,NA,NA,0.000000000000000,0.000000000000000,Complejo,Sucre
-1,RVAa,RVA,RVA,Planicie,Calido humedo,Terraza baja,Depositos aluviales finos,"Relieve plano, afectado por escurrimiento difuso","Pobremente drenados, fertilidad moderada. Imperfectamente drenados, fertilidad alta. Textura arcillosa muy fina, fuertemente acidos, muy superficiales",Asociacion: Vertic Tropaquepts; Aquic Hapluderts,SM-4; SM-2,"50, 50",a,2,Vertic_Tropaquepts,Aquic_Hapluderts,NA,NA,NA,NA,NA,NA,SM-4,SM-2,NA,NA,NA,NA,NA,NA,50,50,NA,NA,NA,NA,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Sucre
-1, ,RVB,RVBa,Planicie,"Calido, humedo y muy humedo",Plano deltaico,Aluviones,"Relieve ligeramente plano con pendientes 1-3%; muy superficiales; texturas arcillo limosa, franco limosa, franca; reaccion neutra a ligeramente alcalina; fertilidad natural moderada", ,Consociacion: Tropic Fluvaquents,PS-629,75, ,1,Tropic_Fluvaquents,NA,NA,NA,NA,NA,NA,NA,PS-629,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,0.000000000000000,0.000000000000000,Consociacion,Santander
-1, ,PVA,PVAa,Piedemonte,"Calido, humedo y muy humedo",Abanicos torrenciales,"Arcillas, areniscas, arenas y cantos","Relieve ligeramente plano con pendientes 1-3% y ligeramente inclinado 3-7-12%; profundos; texturas franco limosa, franco arcillo limosa, arcillo limosa, arcillosa, franca, franco arcillo arenosa; reaccion extremada a fuertemente acida; saturaciones de", ,Consociacion: Oxic Dystropepts,PS-559,75, ,1,Oxic_Dystropepts,NA,NA,NA,NA,NA,NA,NA,PS-559,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,0.000000000000000,0.000000000000000,Consociacion,Santander
-1, ,CA,Cuerpo de agua,Cuerpo de agua,Cuerpo de agua,Cuerpo de agua,Cuerpo de agua,Cuerpo de agua, ,Cuerpo de agua,Cuerpo de agua,Cuerpo de agua, ,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000000000000000,0.000000000000000,NA,Santander
-1, ,CA,Cuerpo de agua,Cuerpo de agua,Cuerpo de agua,Cuerpo de agua,Cuerpo de agua,Cuerpo de agua, ,Cuerpo de agua,Cuerpo de agua,Cuerpo de agua, ,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000000000000000,0.000000000000000,NA,Santander
-1, ,CA,Cuerpo de agua,Cuerpo de agua,Cuerpo de agua,Cuerpo de agua,Cuerpo de agua,Cuerpo de agua, ,Cuerpo de agua,Cuerpo de agua,Cuerpo de agua, ,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000000000000000,0.000000000000000,NA,Santander
-1, ,CA,Cuerpo de agua,Cuerpo de agua,Cuerpo de agua,Cuerpo de agua,Cuerpo de agua,Cuerpo de agua, ,Cuerpo de agua,Cuerpo de agua,Cuerpo de agua, ,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000000000000000,0.000000000000000,NA,Santander
