OBJECTID,UCS_F,UCS_TIPO,DEPTO,NUM_SUELOS,NIVEL_TAXO,RAO,NUCLEO
1,LVAb,Asociacion,Caqueta,4,4,0.5,Nucleo 2
2,VVDb,Asociacion,Caqueta,4,4,0.55,Nucleo 2
4,MVEa,Asociacion,Caqueta,3,4,0.53,Nucleo 2
5,MVEb,Asociacion,Caqueta,3,4,0.53,Nucleo 2
6,PVBb,Asociacion,Caqueta,4,4,0.41,Nucleo 2
7,LVAd2,Asociacion,Caqueta,4,4,0.5,Nucleo 2
8,LVAd2,Asociacion,Caqueta,4,4,0.5,Nucleo 2
9,MUAf,Asociacion,Caqueta,2,4,0.48,Nucleo 2
10,MUCai,Asociacion,Caqueta,2,4,0.36,Nucleo 2
11,VVCa,Asociacion,Caqueta,3,4,0.28,Nucleo 2
12,VVDa,Asociacion,Caqueta,4,4,0.55,Nucleo 2
14,VVDb,Asociacion,Caqueta,4,4,0.55,Nucleo 2
15,VVDa,Asociacion,Caqueta,4,4,0.55,Nucleo 2
16,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
17,LVAd2,Asociacion,Caqueta,4,4,0.5,Nucleo 2
18,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
19,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
26,LVAe,Asociacion,Caqueta,4,4,0.5,Nucleo 2
31,LVAb,Asociacion,Caqueta,4,4,0.5,Nucleo 2
32,LVAb,Asociacion,Caqueta,4,4,0.5,Nucleo 2
33,MUAg,Asociacion,Caqueta,2,4,0.48,Nucleo 2
34,LVCb,Asociacion,Caqueta,3,4,0.66,Nucleo 2
34,LVCb,Asociacion,Caqueta,3,4,0.66,Nucleo 2
34,LVCb,Asociacion,Caqueta,3,4,0.66,Nucleo 2
35,MUBg,Asociacion,Caqueta,3,4,0.58,Nucleo 2
36,MVDc,Asociacion,Caqueta,4,4,0.6,Nucleo 2
37,PVAa,Asociacion,Caqueta,3,4,0.66,Nucleo 2
38,LVCc,Asociacion,Caqueta,3,4,0.66,Nucleo 2
39,LVCb,Asociacion,Caqueta,3,4,0.66,Nucleo 2
40,LVAc,Asociacion,Caqueta,4,4,0.5,Nucleo 2
41,LVAc,Asociacion,Caqueta,4,4,0.5,Nucleo 2
