OBJECTID,UCS_F,UCS_TIPO,DEPTO,NUM_SUELOS,NIVEL_TAXO,RAO,NUCLEO_ID
1,RVDa,Asociacion,Guaviare,4,4,0.555,1
2,LVHai,Disociacion,Guaviare,6,4,0.64625,1
3,LVHai,Disociacion,Guaviare,6,4,0.64625,1
4,RVDa,Asociacion,Guaviare,4,4,0.555,1
5,RVCai,Asociacion,Guaviare,6,4,0.39625,1
6,LVCb,Complejo,Guaviare,6,4,0.63,1
7,LVAb,Consociacion,Guaviare,4,4,0.4825,1
8,LVAa,Consociacion,Guaviare,4,4,0.4825,1
9,LVCb,Complejo,Guaviare,6,4,0.63,1
10,LVFe2,Asociacion,Guaviare,3,4,0.605,1
11,ZVBd1,Asociacion,Guaviare,3,4,0.375,1
12,LVDd1,Asociacion,Guaviare,5,4,0.465,1
13,LVCb,Complejo,Guaviare,6,4,0.63,1
14,LVDc,Asociacion,Guaviare,5,4,0.465,1
15,RVBai,Complejo,Guaviare,3,4,0.345,1
16,ZVBd1,Asociacion,Guaviare,3,4,0.375,1
17,RVBai,Complejo,Guaviare,3,4,0.345,1
18,LVAa,Consociacion,Guaviare,4,4,0.4825,1
19,LVDc,Asociacion,Guaviare,5,4,0.465,1
20,RVCai,Asociacion,Guaviare,6,4,0.39625,1
21,ZVAa,Disociacion,Guaviare,5,4,0.64,1
22,LVDd1,Asociacion,Guaviare,5,4,0.465,1
23,LVCb,Complejo,Guaviare,6,4,0.63,1
24,ZVBc,Asociacion,Guaviare,3,4,0.375,1
25,LVHai,Disociacion,Guaviare,6,4,0.64625,1
26,LVAa,Consociacion,Guaviare,4,4,0.4825,1
27,ZVBc,Asociacion,Guaviare,3,4,0.375,1
28,LVDd1,Asociacion,Guaviare,5,4,0.465,1
29,ZVCc,Consociacion,Guaviare,3,4,0.32,1
30,ZVBd1,Asociacion,Guaviare,3,4,0.375,1
31,RVCai,Asociacion,Guaviare,6,4,0.39625,1
32,LVAa,Consociacion,Guaviare,4,4,0.4825,1
33,ZVCc,Consociacion,Guaviare,3,4,0.32,1
34,LVDc,Asociacion,Guaviare,5,4,0.465,1
35,LVHai,Disociacion,Guaviare,6,4,0.64625,1
36,RVCai,Asociacion,Guaviare,6,4,0.39625,1
37,LVHai,Disociacion,Guaviare,6,4,0.64625,1
38,ZVBc,Asociacion,Guaviare,3,4,0.375,1
39,ZVAb,Disociacion,Guaviare,5,4,0.64,1
40,RVBai,Complejo,Guaviare,3,4,0.345,1
41,RVAai,Asociacion,Guaviare,3,4,0.405,1
42,RVCai,Asociacion,Guaviare,6,4,0.39625,1
43,LVHai,Disociacion,Guaviare,6,4,0.64625,1
44,RVCai,Asociacion,Guaviare,6,4,0.39625,1
45,ZVAc,Disociacion,Guaviare,5,4,0.64,1
46,LVAa,Consociacion,Guaviare,4,4,0.4825,1
47,LVDc,Asociacion,Guaviare,5,4,0.465,1
48,LVDc,Asociacion,Guaviare,5,4,0.465,1
49,LVAa,Consociacion,Guaviare,4,4,0.4825,1
50,LVDc,Asociacion,Guaviare,5,4,0.465,1
51,RVCai,Asociacion,Guaviare,6,4,0.39625,1
52,LVAa,Consociacion,Guaviare,4,4,0.4825,1
53,RVAai,Asociacion,Guaviare,3,4,0.405,1
54,AVAc,Consociacion,Guaviare,5,4,0.49125,1
55,AVAd1,Consociacion,Guaviare,5,4,0.49125,1
56,RVBai,Complejo,Guaviare,3,4,0.345,1
57,RVBai,Complejo,Guaviare,3,4,0.345,1
58,LVAa,Consociacion,Guaviare,4,4,0.4825,1
59,RVEa,Asociacion,Guaviare,3,4,0.625,1
60,RVAai,Asociacion,Guaviare,3,4,0.405,1
61,RVDa,Asociacion,Guaviare,4,4,0.555,1
62,RVBai,Complejo,Guaviare,3,4,0.345,1
63,RVAai,Asociacion,Guaviare,3,4,0.405,1
64,RVBai,Complejo,Guaviare,3,4,0.345,1
65,LVHai,Disociacion,Guaviare,6,4,0.64625,1
66,LVHai,Disociacion,Guaviare,6,4,0.64625,1
67,RVCai,Asociacion,Guaviare,6,4,0.39625,1
68,LVCb,Complejo,Guaviare,6,4,0.63,1
69,LVDc,Asociacion,Guaviare,5,4,0.465,1
70,LVFd1,Asociacion,Guaviare,3,4,0.605,1
71,LVCb,Complejo,Guaviare,6,4,0.63,1
72,AVAc,Consociacion,Guaviare,5,4,0.49125,1
73,RVEa,Asociacion,Guaviare,3,4,0.625,1
74,RVCai,Asociacion,Guaviare,6,4,0.39625,1
75,AVAa,Consociacion,Guaviare,5,4,0.49125,1
76,LVDd1,Asociacion,Guaviare,5,4,0.465,1
77,LVDd1,Asociacion,Guaviare,5,4,0.465,1
78,LVCb,Complejo,Guaviare,6,4,0.63,1
79,LVCb,Complejo,Guaviare,6,4,0.63,1
80,LVDc,Asociacion,Guaviare,5,4,0.465,1
81,AVAb,Consociacion,Guaviare,5,4,0.49125,1
82,LVCb,Complejo,Guaviare,6,4,0.63,1
83,LVDc,Asociacion,Guaviare,5,4,0.465,1
84,LVDc,Asociacion,Guaviare,5,4,0.465,1
85,LVDc,Asociacion,Guaviare,5,4,0.465,1
86,LVAb,Consociacion,Guaviare,4,4,0.4825,1
87,LVDc,Asociacion,Guaviare,5,4,0.465,1
88,LVBa,Consociacion,Guaviare,5,4,0.35375,1
89,VVBa,Consociacion,Guaviare,4,4,0.57,1
90,LVDc,Asociacion,Guaviare,5,4,0.465,1
91,LVDc,Asociacion,Guaviare,5,4,0.465,1
92,ZVBf,Asociacion,Guaviare,3,4,0.375,1
93,LVCb,Complejo,Guaviare,6,4,0.63,1
94,LVCb,Complejo,Guaviare,6,4,0.63,1
95,LVDc,Asociacion,Guaviare,5,4,0.465,1
96,LVDd1,Asociacion,Guaviare,5,4,0.465,1
97,LVAb,Consociacion,Guaviare,4,4,0.4825,1
98,LVHai,Disociacion,Guaviare,6,4,0.64625,1
99,LVAb,Consociacion,Guaviare,4,4,0.4825,1
100,LVDc,Asociacion,Guaviare,5,4,0.465,1
101,LVAa,Consociacion,Guaviare,4,4,0.4825,1
102,VVBa,Consociacion,Guaviare,4,4,0.57,1
103,RVBai,Complejo,Guaviare,3,4,0.345,1
104,LVDc,Asociacion,Guaviare,5,4,0.465,1
105,LVCb,Complejo,Guaviare,6,4,0.63,1
106,LVDd1,Asociacion,Guaviare,5,4,0.465,1
107,LVDc,Asociacion,Guaviare,5,4,0.465,1
108,LVAb,Consociacion,Guaviare,4,4,0.4825,1
109,LVDc,Asociacion,Guaviare,5,4,0.465,1
110,LVDc,Asociacion,Guaviare,5,4,0.465,1
111,LVHai,Disociacion,Guaviare,6,4,0.64625,1
112,ZVAc,Disociacion,Guaviare,5,4,0.64,1
113,LVDd1,Asociacion,Guaviare,5,4,0.465,1
114,LVDc,Asociacion,Guaviare,5,4,0.465,1
115,LVAa,Consociacion,Guaviare,4,4,0.4825,1
116,LVHai,Disociacion,Guaviare,6,4,0.64625,1
117,LVCb,Complejo,Guaviare,6,4,0.63,1
118,RVDa,Asociacion,Guaviare,4,4,0.555,1
119,LVAa,Consociacion,Guaviare,4,4,0.4825,1
120,LVDd1,Asociacion,Guaviare,5,4,0.465,1
121,LVAa,Consociacion,Guaviare,4,4,0.4825,1
122,LVAb,Consociacion,Guaviare,4,4,0.4825,1
123,LVHai,Disociacion,Guaviare,6,4,0.64625,1
124,LVDc,Asociacion,Guaviare,5,4,0.465,1
125,LVBa,Consociacion,Guaviare,5,4,0.35375,1
126,VVBa,Consociacion,Guaviare,4,4,0.57,1
127,LVEd1,Consociacion,Guaviare,1,4,0.095,1
128,LVCb,Complejo,Guaviare,6,4,0.63,1
129,LVDc,Asociacion,Guaviare,5,4,0.465,1
130,LVDc,Asociacion,Guaviare,5,4,0.465,1
131,VVBa,Consociacion,Guaviare,4,4,0.57,1
132,LVFe2,Asociacion,Guaviare,3,4,0.605,1
133,LVCb,Complejo,Guaviare,6,4,0.63,1
134,LVDd1,Asociacion,Guaviare,5,4,0.465,1
135,LVGd1,Asociacion,Guaviare,3,4,0.505,1
136,LVCb,Complejo,Guaviare,6,4,0.63,1
137,LVDc,Asociacion,Guaviare,5,4,0.465,1
138,LVAa,Consociacion,Guaviare,4,4,0.4825,1
139,LVDc,Asociacion,Guaviare,5,4,0.465,1
140,LVCc,Complejo,Guaviare,6,4,0.63,1
141,LVCb,Complejo,Guaviare,6,4,0.63,1
142,LVDd1,Asociacion,Guaviare,5,4,0.465,1
143,LVDc,Asociacion,Guaviare,5,4,0.465,1
144,VVBa,Consociacion,Guaviare,4,4,0.57,1
145,VVBa,Consociacion,Guaviare,4,4,0.57,1
146,LVAa,Consociacion,Guaviare,4,4,0.4825,1
147,LVHai,Disociacion,Guaviare,6,4,0.64625,1
148,LVHai,Disociacion,Guaviare,6,4,0.64625,1
149,LVEd1,Consociacion,Guaviare,1,4,0.095,1
150,LVCc,Complejo,Guaviare,6,4,0.63,1
151,VVBa,Consociacion,Guaviare,4,4,0.57,1
152,LVAa,Consociacion,Guaviare,4,4,0.4825,1
153,LVAa,Consociacion,Guaviare,4,4,0.4825,1
154,VVBa,Consociacion,Guaviare,4,4,0.57,1
155,LVDc,Asociacion,Guaviare,5,4,0.465,1
156,LVDc,Asociacion,Guaviare,5,4,0.465,1
